CodeSystem,ConceptCode,ConceptName
ICD10CM,I21.01,ST elevation (STEMI) myocardial infarction involving left main coronary artery
ICD10CM,I21.02,ST elevation (STEMI) myocardial infarction involving left anterior descending coronary artery
ICD10CM,I21.09,ST elevation (STEMI) myocardial infarction involving other coronary artery of anterior wall
ICD10CM,I21.11,ST elevation (STEMI) myocardial infarction involving right coronary artery
ICD10CM,I21.19,ST elevation (STEMI) myocardial infarction involving other coronary artery of inferior wall
ICD10CM,I21.21,ST elevation (STEMI) myocardial infarction involving left circumflex coronary artery
ICD10CM,I21.29,ST elevation (STEMI) myocardial infarction involving other sites
ICD10CM,I21.3,ST elevation (STEMI) myocardial infarction of unspecified site
ICD10CM,I21.4,Non-ST elevation (NSTEMI) myocardial infarction
ICD10CM,I21.9,"Acute myocardial infarction, unspecified"
ICD10CM,I21.A1,Myocardial infarction type 2
ICD10CM,I21.A9,Other myocardial infarction type
SNOMED CT,304914007,Acute Q wave myocardial infarction
SNOMED CT,307140009,Acute non-Q wave infarction
SNOMED CT,401303003,Acute ST segment elevation myocardial infarction
SNOMED CT,401314000,Acute non-ST segment elevation myocardial infarction
SNOMED CT,194802003,True posterior myocardial infarction
SNOMED CT,194809007,Acute myocardial infarction of atrium
SNOMED CT,233825009,Acute Q wave infarction - anteroseptal
SNOMED CT,233826005,Acute non-Q wave infarction - anteroseptal
SNOMED CT,233827001,Acute Q wave infarction - anterolateral
SNOMED CT,233828006,Acute non-Q wave infarction - anterolateral
SNOMED CT,233829003,Acute Q wave infarction - inferior
SNOMED CT,233830008,Acute non-Q wave infarction - inferior
SNOMED CT,233831007,Acute Q wave infarction - inferolateral
SNOMED CT,233832000,Acute non-Q wave infarction - inferolateral
SNOMED CT,233833005,Acute Q wave infarction - lateral
SNOMED CT,233834004,Acute non-Q wave infarction - lateral
SNOMED CT,233835003,Acute widespread myocardial infarction
SNOMED CT,233836002,Acute Q wave infarction - widespread
SNOMED CT,233837006,Acute non-Q wave infarction - widespread
SNOMED CT,233838001,Acute posterior myocardial infarction
SNOMED CT,703164000,Acute anterior ST segment elevation myocardial infarction
SNOMED CT,17531000119105,Acute myocardial infarction due to left coronary artery occlusion
SNOMED CT,23311000119105,Acute myocardial infarction due to right coronary artery occlusion
SNOMED CT,285981000119103,Acute ST segment elevation myocardial infarction involving left anterior descending coronary artery
SNOMED CT,15962541000119106,Acute ST segment elevation myocardial infarction of anteroapical wall
SNOMED CT,15713081000119108,Acute ST segment elevation myocardial infarction involving left main coronary artery
SNOMED CT,15713121000119105,Acute STEMI (ST elevation myocardial infarction) due to RCA (right coronary artery) occlusion
SNOMED CT,282006,Acute myocardial infarction of basal-lateral wall
SNOMED CT,10273003,Acute infarction of papillary muscle
SNOMED CT,15990001,Acute myocardial infarction of posterolateral wall
