CodeSystem,ConceptCode,ConceptName
ICD10CM,Z98.84,Bariatric surgery status
SNOMED CT,608848006,History of bariatric surgical procedure
SNOMED CT,329281000119107,History of sleeve gastrectomy
SNOMED CT,427074001,Laparoscopic sleeve gastrectomy
SNOMED CT,430715008,Bariatric operative procedure
SNOMED CT,442338001,Bypass of stomach
SNOMED CT,314593003,Posterior gastrojejunostomy
SNOMED CT,358575006,Gastroduodenostomy
SNOMED CT,359529008,"Jaboulay operation, gastroduodenostomy"
SNOMED CT,433024005,Gastrojejunostomy using fluoroscopic guidance
SNOMED CT,443906008,Bypass of stomach with short limb Roux-en-Y gastroenterostomy
SNOMED CT,235281005,Anterior gastrojejunostomy
SNOMED CT,235282003,Anastomosis of stomach to ileum
SNOMED CT,265365007,Bypass of stomach by anastomosis of stomach to duodenum
SNOMED CT,287834004,Gastroenterostomy - no gastrectomy
SNOMED CT,173587003,Bypass of esophagus using stomach
SNOMED CT,173748000,Bypass of stomach by anastomosis of stomach to transposed jejunum
SNOMED CT,173750008,Conversion to anastomosis of stomach to transposed jejunum
SNOMED CT,173751007,Conversion from previous anastomosis of stomach to transposed jejunum
SNOMED CT,173857001,Bypass of duodenum by anastomosis of stomach to jejunum
ICD10PCS,0D11076,"Bypass Upper Esophagus to Stomach with Autologous Tissue Substitute, Open Approach"
ICD10PCS,0D110J6,"Bypass Upper Esophagus to Stomach with Synthetic Substitute, Open Approach"
ICD10PCS,0D110K6,"Bypass Upper Esophagus to Stomach with Nonautologous Tissue Substitute, Open Approach"
ICD10PCS,0D110Z6,"Bypass Upper Esophagus to Stomach, Open Approach"
ICD10PCS,0D11476,"Bypass Upper Esophagus to Stomach with Autologous Tissue Substitute, Percutaneous Endoscopic Approach"
ICD10PCS,0D114J6,"Bypass Upper Esophagus to Stomach with Synthetic Substitute, Percutaneous Endoscopic Approach"
ICD10PCS,0D114K6,"Bypass Upper Esophagus to Stomach with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach"
ICD10PCS,0D114Z6,"Bypass Upper Esophagus to Stomach, Percutaneous Endoscopic Approach"
ICD10PCS,0D11876,"Bypass Upper Esophagus to Stomach with Autologous Tissue Substitute, Via Natural or Artificial Opening Endoscopic"
