CodeSystem,ConceptCode,ConceptName
ICD10CM,O24.410,"Gestational diabetes mellitus in pregnancy, diet controlled"
ICD10CM,O24.414,"Gestational diabetes mellitus in pregnancy, insulin controlled"
ICD10CM,O24.415,"Gestational diabetes mellitus in pregnancy, controlled by oral hypoglycemic drugs"
ICD10CM,O24.419,"Gestational diabetes mellitus in pregnancy, unspecified control"
ICD10CM,O24.420,"Gestational diabetes mellitus in childbirth, diet controlled"
ICD10CM,O24.424,"Gestational diabetes mellitus in childbirth, insulin controlled"
ICD10CM,O24.429,"Gestational diabetes mellitus in childbirth, unspecified control"
ICD10CM,O24.430,"Gestational diabetes mellitus in the puerperium, diet controlled"
ICD10CM,O24.434,"Gestational diabetes mellitus in the puerperium, insulin controlled"
ICD10CM,O24.435,"Gestational diabetes mellitus in puerperium, controlled by oral hypoglycemic drugs"
ICD10CM,O24.439,"Gestational diabetes mellitus in the puerperium, unspecified control"
SNOMED CT,11687002,Gestational diabetes mellitus
SNOMED CT,46894009,Gestational diabetes mellitus class A2
SNOMED CT,75022004,Gestational diabetes mellitus class A1
SNOMED CT,40801000119106,Gestational diabetes mellitus complicating pregnancy
SNOMED CT,40791000119105,Postpartum gestational diabetes mellitus
SNOMED CT,10753491000119101,Gestational diabetes mellitus in childbirth
