CodeSystem,ConceptCode,ConceptName
ICD10CM,H40.10X0,"Unspecified open-angle glaucoma, stage unspecified"
ICD10CM,H40.10X1,"Unspecified open-angle glaucoma, mild stage"
ICD10CM,H40.10X2,"Unspecified open-angle glaucoma, moderate stage"
ICD10CM,H40.10X3,"Unspecified open-angle glaucoma, severe stage"
ICD10CM,H40.10X4,"Unspecified open-angle glaucoma, indeterminate stage"
ICD10CM,H40.1110,"Primary open-angle glaucoma, right eye, stage unspecified"
ICD10CM,H40.1111,"Primary open-angle glaucoma, right eye, mild stage"
ICD10CM,H40.1112,"Primary open-angle glaucoma, right eye, moderate stage"
ICD10CM,H40.1113,"Primary open-angle glaucoma, right eye, severe stage"
ICD10CM,H40.1114,"Primary open-angle glaucoma, right eye, indeterminate stage"
ICD10CM,H40.1120,"Primary open-angle glaucoma, left eye, stage unspecified"
ICD10CM,H40.1121,"Primary open-angle glaucoma, left eye, mild stage"
ICD10CM,H40.1122,"Primary open-angle glaucoma, left eye, moderate stage"
ICD10CM,H40.1123,"Primary open-angle glaucoma, left eye, severe stage"
ICD10CM,H40.1124,"Primary open-angle glaucoma, left eye, indeterminate stage"
ICD10CM,H40.1130,"Primary open-angle glaucoma, bilateral, stage unspecified"
ICD10CM,H40.1131,"Primary open-angle glaucoma, bilateral, mild stage"
ICD10CM,H40.1132,"Primary open-angle glaucoma, bilateral, moderate stage"
ICD10CM,H40.1133,"Primary open-angle glaucoma, bilateral, severe stage"
ICD10CM,H40.1134,"Primary open-angle glaucoma, bilateral, indeterminate stage"
ICD10CM,H40.1210,"Low-tension glaucoma, right eye, stage unspecified"
ICD10CM,H40.1211,"Low-tension glaucoma, right eye, mild stage"
ICD10CM,H40.1212,"Low-tension glaucoma, right eye, moderate stage"
ICD10CM,H40.1213,"Low-tension glaucoma, right eye, severe stage"
ICD10CM,H40.1214,"Low-tension glaucoma, right eye, indeterminate stage"
ICD10CM,H40.1220,"Low-tension glaucoma, left eye, stage unspecified"
ICD10CM,H40.1221,"Low-tension glaucoma, left eye, mild stage"
ICD10CM,H40.1222,"Low-tension glaucoma, left eye, moderate stage"
ICD10CM,H40.1223,"Low-tension glaucoma, left eye, severe stage"
ICD10CM,H40.1224,"Low-tension glaucoma, left eye, indeterminate stage"
ICD10CM,H40.1230,"Low-tension glaucoma, bilateral, stage unspecified"
ICD10CM,H40.1231,"Low-tension glaucoma, bilateral, mild stage"
ICD10CM,H40.1232,"Low-tension glaucoma, bilateral, moderate stage"
ICD10CM,H40.1233,"Low-tension glaucoma, bilateral, severe stage"
ICD10CM,H40.1234,"Low-tension glaucoma, bilateral, indeterminate stage"
ICD10CM,H40.1310,"Pigmentary glaucoma, right eye, stage unspecified"
ICD10CM,H40.1311,"Pigmentary glaucoma, right eye, mild stage"
ICD10CM,H40.1312,"Pigmentary glaucoma, right eye, moderate stage"
ICD10CM,H40.1313,"Pigmentary glaucoma, right eye, severe stage"
ICD10CM,H40.1314,"Pigmentary glaucoma, right eye, indeterminate stage"
ICD10CM,H40.1320,"Pigmentary glaucoma, left eye, stage unspecified"
ICD10CM,H40.1321,"Pigmentary glaucoma, left eye, mild stage"
ICD10CM,H40.1322,"Pigmentary glaucoma, left eye, moderate stage"
ICD10CM,H40.1323,"Pigmentary glaucoma, left eye, severe stage"
ICD10CM,H40.1324,"Pigmentary glaucoma, left eye, indeterminate stage"
ICD10CM,H40.1330,"Pigmentary glaucoma, bilateral, stage unspecified"
ICD10CM,H40.1331,"Pigmentary glaucoma, bilateral, mild stage"
ICD10CM,H40.1332,"Pigmentary glaucoma, bilateral, moderate stage"
ICD10CM,H40.1333,"Pigmentary glaucoma, bilateral, severe stage"
ICD10CM,H40.1334,"Pigmentary glaucoma, bilateral, indeterminate stage"
ICD10CM,H40.1410,"Capsular glaucoma with pseudoexfoliation of lens, right eye, stage unspecified"
ICD10CM,H40.1411,"Capsular glaucoma with pseudoexfoliation of lens, right eye, mild stage"
ICD10CM,H40.1412,"Capsular glaucoma with pseudoexfoliation of lens, right eye, moderate stage"
ICD10CM,H40.1413,"Capsular glaucoma with pseudoexfoliation of lens, right eye, severe stage"
ICD10CM,H40.1414,"Capsular glaucoma with pseudoexfoliation of lens, right eye, indeterminate stage"
ICD10CM,H40.1420,"Capsular glaucoma with pseudoexfoliation of lens, left eye, stage unspecified"
ICD10CM,H40.1421,"Capsular glaucoma with pseudoexfoliation of lens, left eye, mild stage"
ICD10CM,H40.1422,"Capsular glaucoma with pseudoexfoliation of lens, left eye, moderate stage"
ICD10CM,H40.1423,"Capsular glaucoma with pseudoexfoliation of lens, left eye, severe stage"
ICD10CM,H40.1424,"Capsular glaucoma with pseudoexfoliation of lens, left eye, indeterminate stage"
ICD10CM,H40.1430,"Capsular glaucoma with pseudoexfoliation of lens, bilateral, stage unspecified"
ICD10CM,H40.1431,"Capsular glaucoma with pseudoexfoliation of lens, bilateral, mild stage"
ICD10CM,H40.1432,"Capsular glaucoma with pseudoexfoliation of lens, bilateral, moderate stage"
ICD10CM,H40.1433,"Capsular glaucoma with pseudoexfoliation of lens, bilateral, severe stage"
ICD10CM,H40.1434,"Capsular glaucoma with pseudoexfoliation of lens, bilateral, indeterminate stage"
