CodeSystem,ConceptCode,ConceptName
ICD10CM,I63.10,Cerebral infarction due to embolism of unspecified precerebral artery
ICD10CM,I63.111,Cerebral infarction due to embolism of right vertebral artery
ICD10CM,I63.112,Cerebral infarction due to embolism of left vertebral artery
ICD10CM,I63.113,Cerebral infarction due to embolism of bilateral vertebral arteries
ICD10CM,I63.119,Cerebral infarction due to embolism of unspecified vertebral artery
ICD10CM,I63.12,Cerebral infarction due to embolism of basilar artery
ICD10CM,I63.131,Cerebral infarction due to embolism of right carotid artery
ICD10CM,I63.132,Cerebral infarction due to embolism of left carotid artery
ICD10CM,I63.133,Cerebral infarction due to embolism of bilateral carotid arteries
ICD10CM,I63.139,Cerebral infarction due to embolism of unspecified carotid artery
ICD10CM,I63.19,Cerebral infarction due to embolism of other precerebral artery
ICD10CM,I63.40,Cerebral infarction due to embolism of unspecified cerebral artery
ICD10CM,I63.411,Cerebral infarction due to embolism of right middle cerebral artery
ICD10CM,I63.412,Cerebral infarction due to embolism of left middle cerebral artery
ICD10CM,I63.413,Cerebral infarction due to embolism of bilateral middle cerebral arteries
ICD10CM,I63.419,Cerebral infarction due to embolism of unspecified middle cerebral artery
ICD10CM,I63.421,Cerebral infarction due to embolism of right anterior cerebral artery
ICD10CM,I63.422,Cerebral infarction due to embolism of left anterior cerebral artery
ICD10CM,I63.423,Cerebral infarction due to embolism of bilateral anterior cerebral arteries
ICD10CM,I63.429,Cerebral infarction due to embolism of unspecified anterior cerebral artery
ICD10CM,I63.431,Cerebral infarction due to embolism of right posterior cerebral artery
ICD10CM,I63.432,Cerebral infarction due to embolism of left posterior cerebral artery
ICD10CM,I63.433,Cerebral infarction due to embolism of bilateral posterior cerebral arteries
ICD10CM,I63.439,Cerebral infarction due to embolism of unspecified posterior cerebral artery
ICD10CM,I63.441,Cerebral infarction due to embolism of right cerebellar artery
ICD10CM,I63.442,Cerebral infarction due to embolism of left cerebellar artery
ICD10CM,I63.443,Cerebral infarction due to embolism of bilateral cerebellar arteries
ICD10CM,I63.449,Cerebral infarction due to embolism of unspecified cerebellar artery
ICD10CM,I63.49,Cerebral infarction due to embolism of other cerebral artery
ICD9CM,433.01,Occlusion and stenosis of basilar artery with cerebral infarction
ICD9CM,433.10,Occlusion and stenosis of carotid artery without mention of cerebral infarction
ICD9CM,433.11,Occlusion and stenosis of carotid artery with cerebral infarction
ICD9CM,433.21,Occlusion and stenosis of vertebral artery with cerebral infarction
ICD9CM,433.31,Occlusion and stenosis of multiple and bilateral precerebral arteries with cerebral infarction
ICD9CM,433.81,Occlusion and stenosis of other specified precerebral artery with cerebral infarction
ICD9CM,433.91,Occlusion and stenosis of unspecified precerebral artery with cerebral infarction
ICD9CM,434.00,Cerebral thrombosis without mention of cerebral infarction
ICD9CM,434.01,Cerebral thrombosis with cerebral infarction
ICD9CM,434.11,Cerebral embolism with cerebral infarction
ICD9CM,434.91,"Cerebral artery occlusion, unspecified with cerebral infarction"
ICD9CM,436,"Acute, but ill-defined, cerebrovascular disease"
SNOMED CT,195186005,Cerebral infarction due to embolism of precerebral arteries
SNOMED CT,195190007,Cerebral infarction due to embolism of cerebral arteries
