CodeSystem,ConceptCode,ConceptName
ICD10CM,I21.01,ST elevation (STEMI) myocardial infarction involving left main coronary artery
ICD10CM,I21.02,ST elevation (STEMI) myocardial infarction involving left anterior descending coronary artery
ICD10CM,I21.09,ST elevation (STEMI) myocardial infarction involving other coronary artery of anterior wall
ICD10CM,I21.11,ST elevation (STEMI) myocardial infarction involving right coronary artery
ICD10CM,I21.19,ST elevation (STEMI) myocardial infarction involving other coronary artery of inferior wall
ICD10CM,I21.21,ST elevation (STEMI) myocardial infarction involving left circumflex coronary artery
ICD10CM,I21.29,ST elevation (STEMI) myocardial infarction involving other sites
ICD10CM,I21.3,ST elevation (STEMI) myocardial infarction of unspecified site
ICD10CM,I21.4,Non-ST elevation (NSTEMI) myocardial infarction
ICD10CM,I21.9,"Acute myocardial infarction, unspecified"
ICD10CM,I21.A1,Myocardial infarction type 2
ICD10CM,I21.A9,Other myocardial infarction type
ICD10CM,I22.0,Subsequent ST elevation (STEMI) myocardial infarction of anterior wall
ICD10CM,I22.1,Subsequent ST elevation (STEMI) myocardial infarction of inferior wall
ICD10CM,I22.2,Subsequent non-ST elevation (NSTEMI) myocardial infarction
ICD10CM,I22.8,Subsequent ST elevation (STEMI) myocardial infarction of other sites
ICD10CM,I22.9,Subsequent ST elevation (STEMI) myocardial infarction of unspecified site
ICD9CM,410.00,"Acute myocardial infarction of anterolateral wall, episode of care unspecified"
ICD9CM,410.01,"Acute myocardial infarction of anterolateral wall, initial episode of care"
ICD9CM,410.02,"Acute myocardial infarction of anterolateral wall, subsequent episode of care"
ICD9CM,410.10,"Acute myocardial infarction of other anterior wall, episode of care unspecified"
ICD9CM,410.11,"Acute myocardial infarction of other anterior wall, initial episode of care"
ICD9CM,410.12,"Acute myocardial infarction of other anterior wall, subsequent episode of care"
ICD9CM,410.20,"Acute myocardial infarction of inferolateral wall, episode of care unspecified"
ICD9CM,410.21,"Acute myocardial infarction of inferolateral wall, initial episode of care"
ICD9CM,410.22,"Acute myocardial infarction of inferolateral wall, subsequent episode of care"
ICD9CM,410.30,"Acute myocardial infarction of inferoposterior wall, episode of care unspecified"
ICD9CM,410.31,"Acute myocardial infarction of inferoposterior wall, initial episode of care"
ICD9CM,410.32,"Acute myocardial infarction of inferoposterior wall, subsequent episode of care"
ICD9CM,410.40,"Acute myocardial infarction of other inferior wall, episode of care unspecified"
ICD9CM,410.41,"Acute myocardial infarction of other inferior wall, initial episode of care"
ICD9CM,410.42,"Acute myocardial infarction of other inferior wall, subsequent episode of care"
ICD9CM,410.50,"Acute myocardial infarction of other lateral wall, episode of care unspecified"
ICD9CM,410.51,"Acute myocardial infarction of other lateral wall, initial episode of care"
ICD9CM,410.52,"Acute myocardial infarction of other lateral wall, subsequent episode of care"
ICD9CM,410.60,"True posterior wall infarction, episode of care unspecified"
