CodeSystem,ConceptCode,ConceptName
ICD10CM,E66.01,Morbid (severe) obesity due to excess calories
ICD10CM,E66.09,Other obesity due to excess calories
ICD10CM,E66.1,Drug-induced obesity
ICD10CM,E66.2,Morbid (severe) obesity with alveolar hypoventilation
ICD10CM,E66.3,Overweight
ICD10CM,E66.8,Other obesity
ICD10CM,E66.9,"Obesity, unspecified"
ICD10CM,Z68.30,"Body mass index (BMI) 30.0-30.9, adult"
ICD10CM,Z68.31,"Body mass index (BMI) 31.0-31.9, adult"
ICD10CM,Z68.32,"Body mass index (BMI) 32.0-32.9, adult"
ICD10CM,Z68.33,"Body mass index (BMI) 33.0-33.9, adult"
ICD10CM,Z68.34,"Body mass index (BMI) 34.0-34.9, adult"
ICD10CM,Z68.35,"Body mass index (BMI) 35.0-35.9, adult"
ICD10CM,Z68.36,"Body mass index (BMI) 36.0-36.9, adult"
ICD10CM,Z68.37,"Body mass index (BMI) 37.0-37.9, adult"
ICD10CM,Z68.38,"Body mass index (BMI) 38.0-38.9, adult"
ICD10CM,Z68.39,"Body mass index (BMI) 39.0-39.9, adult"
ICD10CM,Z68.41,"Body mass index (BMI) 40.0-44.9, adult"
ICD10CM,Z68.42,"Body mass index (BMI) 45.0-49.9, adult"
ICD10CM,Z68.43,"Body mass index (BMI) 50.0-59.9, adult"
ICD10CM,Z68.44,"Body mass index (BMI) 60.0-69.9, adult"
ICD10CM,Z68.45,"Body mass index (BMI) 70 or greater, adult"
SNOMED CT,162864005,Body mass index 30+ - obesity
SNOMED CT,190965006,Drug-induced obesity
SNOMED CT,190966007,Extreme obesity with alveolar hypoventilation
SNOMED CT,408512008,Body mass index 40+ - severely obese
SNOMED CT,414915002,Obese
SNOMED CT,414916001,Obesity
SNOMED CT,415530009,Simple obesity
SNOMED CT,238131007,Overweight
SNOMED CT,238136002,Morbid obesity
SNOMED CT,83911000119104,Severe obesity
SNOMED CT,1229946007,MAGEL2-related Prader-Willi-like syndrome
