""," ","Ozempic","Rybelsus","Wegovy","Victoza","Saxenda","Unknown"
"1","","(N=54114)","(N=16523)","(N=18780)","(N=10300)","(N=7716)","(N=74778)"
"2","Age","","","","","",""
"3","  Mean (SD)","58 (13)","60 (13)","48 (12)","58 (13)","47 (12)","55 (14)"
"4","Age Group","","","","","",""
"5","  0-17","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"6","  18-44","9428 (17%)","2036 (12%)","7321 (39%)","1737 (17%)","3209 (42%)","18561 (25%)"
"7","  45-64","27879 (52%)","8034 (49%)","9770 (52%)","5233 (51%)","4049 (52%)","38110 (51%)"
"8","  65+","16807 (31%)","6453 (39%)","1689 (9%)","3330 (32%)","458 (6%)","18107 (24%)"
"9","Sex","","","","","",""
"10","  Female","34044 (63%)","9288 (56%)","15360 (82%)","6455 (63%)","6598 (86%)","50647 (68%)"
"11","  Male","20013 (37%)","7220 (44%)","3416 (18%)","3831 (37%)","1114 (14%)","24043 (32%)"
"12","  Unknown","57 (0%)","15 (0%)","4 (0%)","14 (0%)","4 (0%)","88 (0%)"
"13","Race","","","","","",""
"14","  White","38832 (72%)","10881 (66%)","13529 (72%)","7206 (70%)","5493 (71%)","54456 (73%)"
"15","  Black","9085 (17%)","2915 (18%)","3294 (18%)","1454 (14%)","1545 (20%)","11513 (15%)"
"16","  Asian","1223 (2%)","766 (5%)","246 (1%)","306 (3%)","69 (1%)","1856 (2%)"
"17","  AI or AN","330 (1%)","98 (1%)","88 (0%)","133 (1%)","43 (1%)","656 (1%)"
"18","  NH or PI","184 (0%)","92 (1%)","54 (0%)","51 (0%)","15 (0%)","382 (1%)"
"19","  Other Race","2560 (5%)","1062 (6%)","957 (5%)","715 (7%)","332 (4%)","3679 (5%)"
"20","  Declined to answer","523 (1%)","178 (1%)","184 (1%)","115 (1%)","70 (1%)","511 (1%)"
"21","  Unknown","1377 (3%)","531 (3%)","428 (2%)","320 (3%)","149 (2%)","1725 (2%)"
"22","Ethnicity","","","","","",""
"23","  Hispanic or Latino","5210 (10%)","1716 (10%)","1811 (10%)","1023 (10%)","753 (10%)","7448 (10%)"
"24","  Not Hispanic or Latino","46054 (85%)","13834 (84%)","16120 (86%)","8410 (82%)","6618 (86%)","63634 (85%)"
"25","  Declined to answer","696 (1%)","235 (1%)","241 (1%)","168 (2%)","85 (1%)","702 (1%)"
"26","  Unknown","2154 (4%)","738 (4%)","608 (3%)","699 (7%)","260 (3%)","2994 (4%)"
"27","T2D","36628 (68%)","13765 (83%)","1270 (7%)","7431 (72%)","811 (11%)","45329 (61%)"
"28","Obesity or Overweight","43967 (81%)","13743 (83%)","17913 (95%)","7107 (69%)","7005 (91%)","67520 (90%)"
"29","Period","","","","","",""
"30","  2018 Jan-Jun","44 (0%)","0 (0%)","0 (0%)","712 (7%)","145 (2%)","3543 (5%)"
"31","  2018 Jul-Dec","201 (0%)","0 (0%)","0 (0%)","768 (7%)","165 (2%)","3989 (5%)"
"32","  2019 Jan-Jun","448 (1%)","0 (0%)","0 (0%)","1103 (11%)","202 (3%)","5436 (7%)"
"33","  2019 Jul-Dec","774 (1%)","110 (1%)","0 (0%)","568 (6%)","233 (3%)","5827 (8%)"
"34","  2020 Jan-Jun","1837 (3%)","443 (3%)","0 (0%)","790 (8%)","467 (6%)","4196 (6%)"
"35","  2020 Jul-Dec","3491 (6%)","1019 (6%)","0 (0%)","1394 (14%)","839 (11%)","3234 (4%)"
"36","  2021 Jan-Jun","5218 (10%)","2058 (12%)","15 (0%)","1558 (15%)","1200 (16%)","4359 (6%)"
"37","  2021 Jul-Dec","6776 (13%)","2610 (16%)","1809 (10%)","1100 (11%)","973 (13%)","5906 (8%)"
"38","  2022 Jan-Jun","8611 (16%)","3236 (20%)","2653 (14%)","891 (9%)","1087 (14%)","8433 (11%)"
