""," ","Semaglutide","Dulaglutide","Liraglutide","Tirzepatide","Other","Overall"
"1","","(N=79189)","(N=16403)","(N=7610)","(N=14110)","(N=650)","(N=117962)"
"2","Age","","","","","",""
"3","  Mean (SD)","55 (14)","60 (13)","49 (14)","52 (13)","65 (14)","55 (14)"
"4","Age Group","","","","","",""
"5","  0-17","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"6","  18-44","19485 (25%)","2200 (13%)","2921 (38%)","4069 (29%)","58 (9%)","28733 (24%)"
"7","  45-64","39919 (50%)","7937 (48%)","3673 (48%)","7653 (54%)","237 (36%)","59419 (50%)"
"8","  65+","19785 (25%)","6266 (38%)","1016 (13%)","2388 (17%)","355 (55%)","29810 (25%)"
"9","Sex","","","","","",""
"10","  Female","55400 (70%)","9339 (57%)","6176 (81%)","10100 (72%)","346 (53%)","81361 (69%)"
"11","  Male","23748 (30%)","7054 (43%)","1428 (19%)","4003 (28%)","303 (47%)","36536 (31%)"
"12","  Unknown","41 (0%)","10 (0%)","6 (0%)","7 (0%)","1 (0%)","65 (0%)"
"13","Race","","","","","",""
"14","  White","56761 (72%)","11015 (67%)","5322 (70%)","10660 (76%)","460 (71%)","84218 (71%)"
"15","  Black","12508 (16%)","3061 (19%)","1446 (19%)","1811 (13%)","103 (16%)","18929 (16%)"
"16","  Asian","2007 (3%)","495 (3%)","110 (1%)","211 (1%)","14 (2%)","2837 (2%)"
"17","  AI or AN","530 (1%)","126 (1%)","76 (1%)","82 (1%)","7 (1%)","821 (1%)"
"18","  NH or PI","359 (0%)","89 (1%)","36 (0%)","37 (0%)","4 (1%)","525 (0%)"
"19","  Other Race","4187 (5%)","993 (6%)","398 (5%)","866 (6%)","32 (5%)","6476 (5%)"
"20","  Declined to answer","726 (1%)","144 (1%)","44 (1%)","108 (1%)","4 (1%)","1026 (1%)"
"21","  Unknown","2111 (3%)","480 (3%)","178 (2%)","335 (2%)","26 (4%)","3130 (3%)"
"22","Ethnicity","","","","","",""
"23","  Hispanic or Latino","8272 (10%)","2014 (12%)","820 (11%)","1607 (11%)","64 (10%)","12777 (11%)"
"24","  Not Hispanic or Latino","67103 (85%)","13508 (82%)","6479 (85%)","11837 (84%)","543 (84%)","99470 (84%)"
"25","  Declined to answer","955 (1%)","196 (1%)","64 (1%)","134 (1%)","7 (1%)","1356 (1%)"
"26","  Unknown","2859 (4%)","685 (4%)","247 (3%)","532 (4%)","36 (6%)","4359 (4%)"
"27","T2D","38701 (49%)","14066 (86%)","2200 (29%)","6677 (47%)","559 (86%)","62203 (53%)"
"28","Obesity or Overweight","71431 (90%)","13812 (84%)","7113 (93%)","12589 (89%)","489 (75%)","105434 (89%)"
"29","FDA-labeled Use","","","","","",""
"30","  T2D","37728 (48%)","16403 (100%)","1579 (21%)","14110 (100%)","650 (100%)","70470 (60%)"
"31","  Obesity","14738 (19%)","0 (0%)","2628 (35%)","0 (0%)","0 (0%)","17366 (15%)"
"32","  Unknown","26723 (34%)","0 (0%)","3403 (45%)","0 (0%)","0 (0%)","30126 (26%)"
"33","Brand","","","","","",""
"34","  Ozempic","28500 (36%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","28500 (24%)"
"35","  Rybelsus","7674 (10%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","7674 (7%)"
"36","  Wegovy","14738 (19%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","14738 (12%)"
"37","  Trulicity","0 (0%)","16403 (100%)","0 (0%)","0 (0%)","1 (0%)","16404 (14%)"
"38","  Victoza","0 (0%)","0 (0%)","1579 (21%)","0 (0%)","0 (0%)","1579 (1%)"
"39","  Saxenda","0 (0%)","0 (0%)","2628 (35%)","0 (0%)","0 (0%)","2628 (2%)"
"40","  Mounjaro","0 (0%)","0 (0%)","0 (0%)","14110 (100%)","0 (0%)","14110 (12%)"
